Number,Case,Min,Mean,Max
1,1,-25.20409,-10.07865175,-2.466087
1,2,-4.780741,-3.547292625,-1.344281
1,3,-8.685133,-3.4081738444444443,-0.5220726
1,4,-7.995355,-5.907773285714286,-3.416951
1,5,-5.537308,-2.846363249,-0.02176799
1,6,-16.26044,-6.62492095,-0.3085647
1,7,-8.579841,-4.856988925,-0.8236334
1,8,-11.14802,-8.7057988,-5.83397
1,9,-16.95562,-8.1141354,-2.303362
1,10,-15.76271,-7.3286625,-2.166112
1,11,-22.4586,-14.883960000000002,-4.447189
2,1,-9.638266,-2.1011302778461536,-0.007948512
2,2,-15.29207,-5.4648203806666675,-0.03410503
2,3,-5.519256,-1.6781677188235293,-0.05231872
2,4,-5.016394,-1.4717190725,-0.02167644
2,5,-7.879722,-2.2165412214285714,-0.1205543
2,6,-5.794187,-1.6120884688235295,-0.01731142
2,7,-5.358881,-1.4538389595652177,-0.04394357
2,8,-5.972318,-2.041949299090909,-0.0604257
2,9,-7.158653,-2.1198635631578946,-0.1235982
2,10,-8.064122,-2.215348802,-0.03558025
3,1,-9.013506,-3.1983752000000005,-0.1590285
3,2,-3.493296,-1.9656430200000004,-0.1371618
3,3,-10.14825,-3.4925762545454546,-0.4226848
3,4,-8.81649,-4.159142518181818,-0.2086427
3,5,-3.101888,-1.1916002299999997,-0.04271153
3,6,-4.75349,-2.1659347660000003,-0.09877086
3,7,-8.9922,-2.647064365,-0.04861495
3,8,-10.01037,-5.21783515625,-0.04968625
3,9,-7.860625,-2.338527309,-0.02859961
3,10,-14.25403,-4.5039420308333336,-0.07591397
4,2,-6.738923,-1.946712014615385,-0.03831722
4,3,-7.41705,-2.704299229090909,-0.09895042
4,4,-7.37606,-2.985631275,-0.6998956
4,5,-7.384353,-2.4315273875,-0.1731057
4,6,-4.607668,-1.909296828125,-0.07458385
4,7,-7.640305,-2.395451693333334,-0.1102179
4,8,-18.96827,-5.946490254545455,-0.1769617
4,9,-8.314629,-3.852469,-1.3166
4,10,-5.630015,-2.8040043666666667,-0.0881914
4,11,-25.971,-9.612139866666666,-0.6437212
4,12,-10.04548,-3.5797076428571435,-0.3419973
4,13,-7.141274,-2.978286307142857,-0.2017571
4,14,-3.231865,-1.330175727272727,-0.200781
4,15,-2.772453,-1.1481863923529414,-0.01438595
