,Case,EnterTime
0,11,0.0
1,11,0.02
2,11,0.04
3,11,0.06
4,11,0.08
5,11,0.09999999
6,11,0.12
7,11,0.14
8,11,0.16
9,11,0.18
10,11,0.2
11,11,0.22
12,11,0.24
13,12,0.0
14,12,0.02
15,12,0.04
16,12,0.06
17,12,0.08
18,12,0.09999999
19,12,0.12
20,12,0.14
21,12,0.16
22,12,0.18
23,12,0.2
24,12,0.22
25,13,0.0
26,13,0.02
27,13,0.04
28,13,0.06
29,13,0.08
30,13,0.09999999
31,13,0.12
32,13,0.14
33,13,0.16
34,13,0.18
35,13,0.2
36,14,0.0
37,14,0.02
38,14,0.04
39,14,0.06
40,14,0.08
41,14,0.09999999
42,14,0.12
43,14,0.14
44,14,0.16
45,14,0.18
46,14,0.2
47,14,0.22
48,14,0.24
49,15,0.0
50,15,0.02
51,15,0.04
52,15,0.06
53,15,0.08
54,15,0.09999999
55,15,0.12
56,15,0.14
57,15,0.16
58,15,0.18
59,15,0.2
60,16,0.0
61,16,0.02
62,16,0.04
63,16,0.06
64,16,0.08
65,16,0.09999999
66,16,0.12
67,16,0.14
68,16,0.16
69,16,0.18
70,16,0.2
71,16,0.22
72,16,0.24
73,17,0.0
74,17,0.02
75,17,0.04
76,17,0.06
77,17,0.08
78,17,0.09999999
79,17,0.12
80,17,0.14
81,17,0.16
82,17,0.18
83,17,0.2
84,17,0.22
85,17,0.24
86,17,0.26
87,18,0.0
88,18,0.02
89,18,0.04
90,18,0.06
91,18,0.08
92,18,0.09999999
93,18,0.12
94,18,0.14
95,18,0.16
96,18,0.18
97,18,0.2
98,18,0.22
99,18,0.24
100,19,0.0
101,19,0.02
102,19,0.04
103,19,0.06
104,19,0.08
105,19,0.09999999
106,19,0.12
107,19,0.14
108,19,0.16
109,19,0.18
110,19,0.2
111,20,0.0
112,20,0.02
113,20,0.04
114,20,0.06
115,20,0.08
116,20,0.09999999
117,20,0.12
118,20,0.14
119,20,0.16
120,20,0.18
121,20,0.2
122,20,0.22
123,20,0.24
124,21,0.0
125,21,0.02
126,21,0.04
127,21,0.06
128,22,0.0
129,22,0.02
130,22,0.04
131,22,0.06
132,22,0.08
133,23,0.0
134,23,0.02
135,23,0.04
136,24,0.0
137,24,0.02
138,24,0.04
139,24,0.06
140,25,0.0
141,25,0.02
142,25,0.04
143,25,0.06
144,25,0.08
145,25,0.09999999
146,26,0.0
147,26,0.02
148,26,0.04
149,27,0.0
150,27,0.02
151,28,0.0
152,28,0.02
153,28,0.04
154,28,0.06
155,29,0.0
156,29,0.02
157,29,0.04
158,29,0.06
159,30,0.0
160,30,0.02
161,30,0.04
162,30,0.06
