Number,Case,Acceleration
1,1,-3.664041
1,1,-2.734504
1,1,-0.9016954
1,1,-2.036603
1,1,-1.555214
1,1,-1.850402
1,2,-10.65499
1,2,-6.820287
1,2,-2.731321
1,2,-2.431023
1,2,-4.788443
1,2,-3.110338
1,2,-0.9817226
1,2,-4.216556
1,2,-7.557151
1,3,-14.65877
1,3,-17.04335
1,3,-9.986197
1,3,-1.259611
1,3,-5.23609
1,3,-0.954509
1,3,-2.442258
1,3,-1.906516
1,3,-0.7988913
1,3,-1.83784
1,4,-12.48272
1,4,-11.41726
1,4,-2.671321
1,4,-3.457068
1,4,-4.114896
1,4,-3.413277
1,4,-0.9114566
1,4,-1.441899
1,4,-1.166227
1,4,-2.326408
1,5,-14.60804
1,5,-0.6009534
1,5,-3.279436
1,5,-6.648216
1,5,-3.146274
1,5,-2.447021
1,5,-4.365505
1,5,-1.278977
1,5,-1.359508
1,5,-1.988157
1,5,-19.76048
1,6,-12.34899
1,6,-0.7946789
1,6,-4.566966
1,6,-8.262193
1,6,-2.017092
1,6,-1.278695
1,6,-1.177447
1,6,-3.913506
1,6,-2.160781
1,6,-0.8974714
1,6,-2.341635
1,6,-2.451388
1,6,-0.9874435
1,6,-7.727108
1,7,-4.555331
1,7,-12.93985
1,7,-5.408387
1,7,-1.507429
1,7,-0.8729593
1,7,-1.479492
1,7,-1.703074
1,7,-1.37544
1,7,-2.189463
1,7,-9.405727
1,8,-17.2194
1,8,-7.480625
1,8,-7.059242
1,8,-2.106844
1,8,-6.382657
1,8,-1.282313
1,8,-2.510672
1,8,-1.038713
1,8,-2.520954
1,8,-5.159446
1,8,-1.595324
1,9,-28.76298
1,9,-22.24121
1,9,-8.799068
1,9,-4.771708
1,9,-2.910044
1,9,-1.99614
1,9,-1.851489
1,9,-1.706429
1,9,-2.190501
1,9,-2.996051
1,9,-6.020817
1,10,-41.01543
1,10,-3.902865
1,10,-8.766353
1,10,-6.065047
1,10,-3.724139
1,10,-3.363584
1,10,-3.331187
10,1,-5.10183
10,1,-11.25666
10,1,-5.928126
10,1,-7.354247
10,1,-9.370575
10,1,-2.020144
10,1,-0.9126894
10,1,-2.443428
10,1,-11.19186
10,2,-10.0833
10,2,-3.403349
10,2,-3.912125
10,2,-3.35403
10,2,-2.855504
10,2,-0.8290542
10,2,-1.469185
10,2,-1.789392
10,3,-8.066351
10,3,-4.413465
10,3,-0.8432403
10,3,-1.955771
10,4,-4.338618
10,4,-3.153504
10,4,-3.902682
10,4,-0.9775249
10,5,-8.166728
10,5,-10.20683
10,5,-3.049004
10,5,-1.999154
10,5,-1.3485
10,5,-2.249002
10,6,-6.050169
10,6,-2.033806
10,6,-6.156843
10,6,-3.415935
10,7,-11.69588
10,7,-14.36018
10,7,-19.19397
10,7,-16.93609
10,7,-10.01954
10,8,-6.53778
10,8,-5.229739
10,8,-0.7516831
10,8,-6.812821
10,8,-3.338215
10,8,-3.704017
10,8,-2.313363
10,8,-0.7056572
10,8,-1.590835
10,8,-2.619002
10,8,-3.575611
10,8,-1.272683
10,8,-1.519392
10,8,-0.7418064
10,8,-2.809911
10,9,-4.926276
10,9,-2.79183
10,9,-1.640147
10,9,-2.309099
10,9,-2.952247
10,9,-4.548025
10,9,-4.69954
10,9,-2.675967
10,9,-0.7959735
10,9,-1.195695
10,9,-6.732919
10,10,-3.939708
10,10,-4.514882
10,10,-3.128611
10,10,-3.005014
10,10,-3.110023
10,10,-2.269455
10,10,-1.044869
10,10,-2.088153
